DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10168,167,10168,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10169,168,10169,2.6284864011331326,0,-140737488355328.0,0,0,2,2
10170,169,10170,2.628486401133164,0,31715490333595.043,0,0,2,2
10171,170,10171,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10172,171,10172,2.628486401133164,0,40941814794277.234,0,0,2,2
10173,172,10173,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10174,173,10174,2.628486401133164,0,40941814794277.234,0,0,2,2
10175,174,10175,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10176,175,10176,2.628486401133164,0,40941814794277.234,0,0,2,2
10177,176,10177,2.6284864011331326,0,-31715490333595.043,0,0,2,2
10178,177,10178,2.6284864011331397,0,140737488355328.0,0,0,2,2
10179,178,10179,2.628486401133164,0,40941814794277.234,0,0,2,2
10180,179,10180,2.6284864011331326,0,-31715490333595.043,0,0,2,2
10181,180,10181,2.628486401133164,0,31715490333595.043,0,0,2,2
10182,181,10182,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10183,182,10183,2.628486401133164,0,40941814794277.234,0,0,2,2
10184,183,10184,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10185,184,10185,2.628486401133164,0,40941814794277.234,0,0,2,2
10186,185,10186,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10187,186,10187,2.6284864011331397,0,90000000000,0,0,2,2
10188,187,10188,2.6284864011331575,0,56294995342131.2,0,0,2,2
10189,188,10189,2.6284864011331517,0,-173215370283480.62,0,0,2,2
10190,189,10190,2.6284864011331517,0,90000000000,0,0,2,2
10191,190,10191,2.6284864011331326,0,-52367437527563.91,0,0,2,2
10192,191,10192,2.628486401133164,0,31715490333595.043,0,0,2,2
10193,192,10193,2.6284864011331397,0,-40941814794277.234,0,0,2,2
10194,193,10194,2.6284864011331517,0,83399993099453.62,0,0,2,2
10195,194,10195,2.6284864011331517,0,90000000000,0,0,2,2
10196,195,10196,2.6284864011331517,0,90000000000,0,0,2,2
10197,196,10197,2.6284864011331517,0,90000000000,0,0,2,2
10198,197,10198,2.628486401133145,0,-150119987579016.53,0,0,2,2
10199,198,10199,2.6284864011331517,0,150119987579016.53,0,0,2,2
10200,199,10200,2.6284864011331397,0,-83399993099453.62,0,0,2,2
10201,200,10201,2.6284864011331575,0,56294995342131.2,0,0,2,2
10202,201,10202,2.6284864011331397,0,-56294995342131.2,0,0,2,2
10203,202,10203,2.628486401133164,0,40941814794277.234,0,0,2,2
