PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10359,0,0,-6.248,-68.946,-83.783,0,0,0,0
10360,0,0,-6.228,-68.842,-85.188,0,0,0,0
10361,0,0,-6.223,-68.845,-86.188,0,0,0,0
10362,0,0,-6.218,-68.849,-87.188,0,0,0,0
10363,0,0,-6.213,-68.852,-88.188,0,0,0,0
10364,0,0,-6.208,-68.855,-89.188,0,0,0,0
10365,0,0,-6.203,-68.859,-90.188,0,0,0,0
10366,0,0,-6.198,-68.862,-91.189,0,0,0,0
10367,0,0,-6.193,-68.866,-92.189,0,0,0,0
10368,0,0,-6.188,-68.869,-93.189,0,0,0,0
10369,0,0,-6.183,-68.872,-94.189,0,0,0,0
10370,0,0,-6.178,-68.876,-95.189,0,0,0,0
10371,0,0,-6.173,-68.879,-96.189,0,0,0,0
10372,0,0,-6.168,-68.882,-97.189,0,0,0,0
10373,0,0,-6.163,-68.886,-98.189,0,0,0,0
10374,0,0,-6.158,-68.889,-99.19,0,0,0,0
10375,0,0,-6.1530000000000005,-68.892,-100.19,0,0,0,0
10376,0,0,-6.148,-68.896,-101.19,0,0,0,0
10377,0,0,-6.143,-68.899,-102.19,0,0,0,0
10378,0,0,-6.138,-68.903,-103.19,0,0,0,0
10379,0,0,-6.134,-68.906,-104.19,0,0,0,0
10380,0,0,-6.129,-68.909,-105.19,0,0,0,0
10381,0,0,-6.124,-68.913,-106.191,0,0,0,0
10382,0,0,-6.119,-68.916,-107.191,0,0,0,0
10383,0,0,-6.114,-68.919,-108.191,0,0,0,0
10384,0,0,-6.109,-68.923,-109.191,0,0,0,0
10385,0,0,-6.104,-68.926,-110.191,0,0,0,0
10386,0,0,-6.099,-68.93,-111.191,0,0,0,0
10387,0,0,-6.094,-68.933,-112.191,0,0,0,0
10388,0,0,-6.089,-68.936,-113.192,0,0,0,0
10389,0,0,-6.084,-68.94,-114.192,0,0,0,0
10390,0,0,-6.079,-68.943,-115.192,0,0,0,0
10391,0,0,-6.074,-68.946,-116.192,0,0,0,0
10392,0,0,-6.069,-68.95,-117.192,0,0,0,0
10393,0,0,-6.064,-68.953,-118.192,0,0,0,0
10394,0,0,-6.059,-68.956,-119.192,0,0,0,0
10395,0,0,-6.054,-68.96,-120.193,0,0,0,0
10396,0,0,-6.049,-68.963,-121.193,0,0,0,0
10397,0,0,-6.044,-68.967,-122.193,0,0,0,0
10398,0,0,-6.039,-68.97,-123.193,0,0,0,0
10399,0,0,-6.034,-68.973,-124.193,0,0,0,0
10400,0,0,-6.029,-68.977,-125.193,0,0,0,0
10401,0,0,-6.024,-68.98,-126.193,0,0,0,0
10402,0,0,-6.019,-68.983,-127.194,0,0,0,0
10403,0,0,-6.014,-68.987,-128.194,0,0,0,0
10404,0,0,-6.009,-68.99,-129.194,0,0,0,0
10405,0,0,-6.004,-68.994,-130.194,0,0,0,0
10406,0,0,-5.999,-68.997,-131.194,0,0,0,0
10407,0,0,-5.994,-69.0,-132.194,0,0,0,0
10408,0,0,-5.989,-69.004,-133.194,0,0,0,0
10409,0,0,-5.984,-69.007,-134.195,0,0,0,0
10410,0,0,-5.979,-69.01,-135.195,0,0,0,0
10411,0,0,-5.974,-69.014,-136.195,0,0,0,0
10412,0,0,-5.969,-69.017,-137.195,0,0,0,0
10413,0,0,-5.964,-69.021,-138.195,0,0,0,0
10414,0,0,-5.959,-69.024,-139.195,0,0,0,0
10415,0,0,-5.954,-69.027,-140.195,0,0,0,0
10416,0,0,-5.95,-69.031,-141.196,0,0,0,0
10417,0,0,-5.945,-69.034,-142.196,0,0,0,0
10418,0,0,-5.9399999999999995,-69.037,-143.196,0,0,0,0
10419,0,0,-5.9350000000000005,-69.041,-144.196,0,0,0,0
10420,0,0,-5.93,-69.044,-145.196,0,0,0,0
10421,0,0,-5.925,-69.047,-146.196,0,0,0,0
10422,0,0,-5.92,-69.051,-147.196,0,0,0,0
10423,0,0,-5.915,-69.054,-148.197,0,0,0,0
10424,0,0,-5.91,-69.058,-149.197,0,0,0,0
10425,0,0,-5.905,-69.061,-150.197,0,0,0,0
10426,0,0,-5.9,-69.064,-151.197,0,0,0,0
10427,0,0,-5.895,-69.068,-152.197,0,0,0,0
10428,0,0,-5.89,-69.071,-153.197,0,0,0,0
10429,0,0,-5.885,-69.074,-154.197,0,0,0,0
10430,0,0,-5.88,-69.078,-155.198,0,0,0,0
10431,0,0,-5.875,-69.081,-156.198,0,0,0,0
10432,0,0,-5.87,-69.085,-157.198,0,0,0,0
10433,0,0,-5.865,-69.088,-158.198,0,0,0,0
10434,0,0,-5.86,-69.091,-159.198,0,0,0,0
10435,0,0,-5.855,-69.095,-160.198,0,0,0,0
10436,0,0,-5.85,-69.098,-161.198,0,0,0,0
10437,0,0,-5.845,-69.101,-162.199,0,0,0,0
10438,0,0,-5.84,-69.105,-163.199,0,0,0,0
10439,0,0,-5.835,-69.108,-164.199,0,0,0,0
10440,0,0,-5.83,-69.112,-165.199,0,0,0,0
10441,0,0,-5.825,-69.115,-166.199,0,0,0,0
10442,0,0,-5.82,-69.118,-167.199,0,0,0,0
10443,0,0,-5.8149999999999995,-69.122,-168.199,0,0,0,0
10444,0,0,-5.8100000000000005,-69.125,-169.199,0,0,0,0
10445,0,0,-5.805,-69.128,-170.2,0,0,0,0
10446,0,0,-5.8,-69.132,-171.2,0,0,0,0
10447,0,0,-5.795,-69.135,-172.2,0,0,0,0
10448,0,0,-5.79,-69.138,-173.2,0,0,0,0
