PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
177,0,0,-23.589,-154.934,1373.763,0,0,0,0
178,0,0,-23.573,-153.944,1373.594,0,0,0,0
179,0,0,-23.556,-152.955,1373.425,0,0,0,0
180,0,0,-23.54,-151.966,1373.256,0,0,0,0
181,0,0,-23.523,-150.977,1373.087,0,0,0,0
182,0,0,-23.507,-149.988,1372.917,0,0,0,0
183,0,0,-23.49,-148.998,1372.748,0,0,0,0
184,0,0,-23.474,-148.009,1372.579,0,0,0,0
185,0,0,-23.457,-147.02,1372.41,0,0,0,0
186,0,0,-23.441,-146.031,1372.241,0,0,0,0
187,0,0,-23.424,-145.042,1372.072,0,0,0,0
188,0,0,-23.408,-144.052,1371.903,0,0,0,0
189,0,0,-23.391,-143.063,1371.733,0,0,0,0
190,0,0,-23.375,-142.074,1371.564,0,0,0,0
191,0,0,-23.358,-141.085,1371.395,0,0,0,0
192,0,0,-23.311,-138.179,1371.006,0,0,0,0
193,0,0,-23.286,-136.638,1370.797,0,0,0,0
194,0,0,-23.256,-134.848,1370.485,0,0,0,0
195,0,0,-23.24,-133.846,1370.311,0,0,0,0
196,0,0,-23.223,-132.843,1370.137,0,0,0,0
197,0,0,-23.206,-131.841,1369.964,0,0,0,0
198,0,0,-23.189,-130.838,1369.79,0,0,0,0
199,0,0,-23.173,-129.836,1369.616,0,0,0,0
200,0,0,-23.156,-128.833,1369.442,0,0,0,0
201,0,0,-23.139,-127.831,1369.269,0,0,0,0
202,0,0,-23.122,-126.828,1369.095,0,0,0,0
203,0,0,-23.105,-125.826,1368.921,0,0,0,0
204,0,0,-23.089,-124.824,1368.748,0,0,0,0
205,0,0,-23.072,-123.821,1368.574,0,0,0,0
206,0,0,-23.055,-122.819,1368.4,0,0,0,0
207,0,0,-23.038,-121.816,1368.226,0,0,0,0
208,0,0,-23.022,-120.814,1368.053,0,0,0,0
209,0,0,-23.005,-119.811,1367.879,0,0,0,0
210,0,0,-22.988,-118.809,1367.705,0,0,0,0
211,0,0,-22.971,-117.807,1367.532,0,0,0,0
212,0,0,-22.955,-116.804,1367.358,0,0,0,0
213,0,0,-22.938,-115.802,1367.184,0,0,0,0
214,0,0,-22.921,-114.799,1367.01,0,0,0,0
215,0,0,-22.904,-113.797,1366.837,0,0,0,0
216,0,0,-22.888,-112.794,1366.663,0,0,0,0
217,0,0,-22.871,-111.792,1366.489,0,0,0,0
218,0,0,-22.854,-110.79,1366.316,0,0,0,0
219,0,0,-22.837,-109.787,1366.142,0,0,0,0
220,0,0,-22.82,-108.785,1365.968,0,0,0,0
221,0,0,-22.804,-107.782,1365.794,0,0,0,0
222,0,0,-22.787,-106.78,1365.621,0,0,0,0
223,0,0,-22.77,-105.777,1365.447,0,0,0,0
224,0,0,-22.753,-104.775,1365.273,0,0,0,0
225,0,0,-22.737,-103.773,1365.1,0,0,0,0
226,0,0,-22.72,-102.77,1364.926,0,0,0,0
227,0,0,-22.703,-101.768,1364.752,0,0,0,0
228,0,0,-22.686,-100.765,1364.578,0,0,0,0
229,0,0,-22.67,-99.763,1364.405,0,0,0,0
230,0,0,-22.653,-98.76,1364.231,0,0,0,0
231,0,0,-22.636,-97.758,1364.057,0,0,0,0
232,0,0,-22.619,-96.755,1363.884,0,0,0,0
233,0,0,-22.602,-95.753,1363.71,0,0,0,0
234,0,0,-22.586,-94.751,1363.536,0,0,0,0
235,0,0,-22.569,-93.748,1363.362,0,0,0,0
236,0,0,-22.552,-92.746,1363.189,0,0,0,0
237,0,0,-22.535,-91.743,1363.015,0,0,0,0
238,0,0,-22.519,-90.741,1362.841,0,0,0,0
239,0,0,-22.499,-89.62,1362.575,0,0,0,0
240,0,0,-22.469,-87.873,1362.263,0,0,0,0
241,0,0,-22.453,-86.879,1362.093,0,0,0,0
242,0,0,-22.436,-85.886,1361.924,0,0,0,0
243,0,0,-22.42,-84.892,1361.754,0,0,0,0
244,0,0,-22.403,-83.899,1361.584,0,0,0,0
245,0,0,-22.387,-82.905,1361.414,0,0,0,0
246,0,0,-22.37,-81.912,1361.245,0,0,0,0
247,0,0,-22.353,-80.918,1361.075,0,0,0,0
248,0,0,-22.337,-79.925,1360.905,0,0,0,0
249,0,0,-22.32,-78.931,1360.735,0,0,0,0
250,0,0,-22.304,-77.938,1360.566,0,0,0,0
251,0,0,-22.287,-76.944,1360.396,0,0,0,0
252,0,0,-22.27,-75.95,1360.226,0,0,0,0
253,0,0,-22.254,-74.957,1360.056,0,0,0,0
254,0,0,-22.237,-73.963,1359.887,0,0,0,0
255,0,0,-22.221,-72.97,1359.717,0,0,0,0
256,0,0,-22.204,-71.976,1359.547,0,0,0,0
257,0,0,-22.188,-70.983,1359.377,0,0,0,0
258,0,0,-22.171,-69.989,1359.208,0,0,0,0
259,0,0,-22.154,-68.996,1359.038,0,0,0,0
260,0,0,-22.138,-68.002,1358.868,0,0,0,0
261,0,0,-22.121,-67.009,1358.699,0,0,0,0
262,0,0,-22.105,-66.015,1358.529,0,0,0,0
263,0,0,-22.088,-65.022,1358.359,0,0,0,0
264,0,0,-22.071,-64.028,1358.189,0,0,0,0
265,0,0,-22.055,-63.035,1358.02,0,0,0,0
266,0,0,-22.038,-62.041,1357.85,0,0,0,0
267,0,0,-22.022,-61.047,1357.68,0,0,0,0
268,0,0,-22.005,-60.054,1357.51,0,0,0,0
269,0,0,-21.989,-59.06,1357.341,0,0,0,0
270,0,0,-21.972,-58.067,1357.171,0,0,0,0
271,0,0,-21.955,-57.073,1357.001,0,0,0,0
272,0,0,-21.939,-56.08,1356.831,0,0,0,0
273,0,0,-21.917,-54.721,1356.662,0,0,0,0
274,0,0,-21.901,-53.667,1356.618,0,0,0,0
275,0,0,-21.885,-52.517,1356.59,0,0,0,0
276,0,0,-21.871,-51.394,1356.732,0,0,0,0
277,0,0,-21.86,-50.241,1357.107,0,0,0,0
278,0,0,-21.855,-49.178,1357.765,0,0,0,0
279,0,0,-21.852,-48.264,1358.425,0,0,0,0
280,0,0,-21.853,-47.567,1359.223,0,0,0,0
281,0,0,-21.859,-47.02,1360.093,0,0,0,0
282,0,0,-21.868,-46.552,1361.169,0,0,0,0
283,0,0,-21.88,-46.279,1362.276,0,0,0,0
284,0,0,-21.898,-46.057,1363.697,0,0,0,0
285,0,0,-21.914,-45.922,1364.907,0,0,0,0
286,0,0,-21.936,-45.677,1366.596,0,0,0,0
287,0,0,-21.962,-45.495,1368.541,0,0,0,0
288,0,0,-21.98,-45.271,1370.009,0,0,0,0
